config,betaG,r2_biased,r2_free,r2_total
all_biased,0.0,0.9814382579544949,nan,0.9814382579544949
all_biased,0.01,0.9794787151438209,nan,0.9794787151438209
all_biased,0.05,0.9811390339625533,nan,0.9811390339625533
all_biased,0.1,0.97427318494501,nan,0.97427318494501
all_biased,0.5,0.8591868461662518,nan,0.8591868461662518
all_biased,1.0,0.6903947841334999,nan,0.6903947841334999
all_biased,5.0,0.16577133423521986,nan,0.16577133423521986
half_biased,0.0,0.9850293366114116,0.9706551041723257,0.9778422203918686
half_biased,0.01,0.9839413757458472,0.9780882506444257,0.9810148131951365
half_biased,0.05,0.9811187724842673,0.9712349430111389,0.9761768577477031
half_biased,0.1,0.9762534814176221,0.9805473594760389,0.9784004204468305
half_biased,0.5,0.8589570733925914,0.9862131556709685,0.9225851145317799
half_biased,1.0,0.6984463555326815,0.9386529667799032,0.8185496611562924
half_biased,5.0,0.17896192319856832,0.9678749458677981,0.5734184345331833
one_biased,0.0,0.9852233613800823,0.9829443839916753,0.9832292561652262
one_biased,0.01,0.980743859055738,0.9743049820914343,0.9751098417119723
one_biased,0.05,0.9804183219736485,0.9676285496671149,0.9692272712054315
one_biased,0.1,0.9756525666405259,0.9482366455576035,0.9516636356929689
one_biased,0.5,0.8580072083563439,0.9683188535178581,0.9545298978726687
one_biased,1.0,0.6987045334432386,0.9842346001052139,0.9485433417724671
one_biased,5.0,0.17806788228188727,0.984941140591832,0.8840819833030888
